"method","efficiency","raw_imbalance","imbalance","targeted_group_demo","budget_actual","maximum_viable_ceiling_z0","maximum_viable_ceiling_z1","delta_policy","scenario","replication","n_train","n_test","num_trees","beat_penalty","target_share"
"BTGQ_VALID",67.2403416064403,0.04,8.69565217391305,0.522,NA,0.21,0.752,0,"scenario_2_low_corr_tau_z",3,2000,1000,250,10,0.5
"CF-FD",71.8434872403565,0.424,100,0.71,NA,0.208,0.778,7.8,"scenario_3_low_corr_tau_z_x2_same_sign",1,2000,1000,250,10,0.5
"CF-NP",78.2515089748923,0.348,82.0754716981132,0.672,NA,0.208,0.778,0,"scenario_3_low_corr_tau_z_x2_same_sign",1,2000,1000,250,10,0.5
"Debiased",71.7573330068853,0.092,21.6981132075472,0.544,NA,0.208,0.778,23.6,"scenario_3_low_corr_tau_z_x2_same_sign",1,2000,1000,250,10,0.5
"BEAT",22.9056331919312,0.052,12.2641509433962,0.524,NA,0.208,0.778,0,"scenario_3_low_corr_tau_z_x2_same_sign",1,2000,1000,250,10,0.5
"BTGQ",24.1967915588469,0.06,14.1509433962264,0.528,NA,0.208,0.778,0,"scenario_3_low_corr_tau_z_x2_same_sign",1,2000,1000,250,10,0.5
"BTGQ_VALID",42.8674684738023,0.12,28.3018867924528,0.558,NA,0.208,0.778,0,"scenario_3_low_corr_tau_z_x2_same_sign",1,2000,1000,250,10,0.5
"CF-FD",89.0770583419557,0.572,100,0.79,NA,0.19,0.774,27.2,"scenario_3_low_corr_tau_z_x2_same_sign",2,2000,1000,250,10,0.5
"CF-NP",61.2747416198529,0.304,53.1468531468532,0.656,NA,0.19,0.774,0,"scenario_3_low_corr_tau_z_x2_same_sign",2,2000,1000,250,10,0.5
"Debiased",51.2616498476163,0.012,2.0979020979021,0.51,NA,0.19,0.774,30.4,"scenario_3_low_corr_tau_z_x2_same_sign",2,2000,1000,250,10,0.5
"BEAT",40.0895412401016,0.032,5.5944055944056,0.52,NA,0.19,0.774,0,"scenario_3_low_corr_tau_z_x2_same_sign",2,2000,1000,250,10,0.5
"BTGQ",50.1698636565087,0.092,16.0839160839161,0.55,NA,0.19,0.774,0,"scenario_3_low_corr_tau_z_x2_same_sign",2,2000,1000,250,10,0.5
"BTGQ_VALID",43.8040595939536,0.092,16.0839160839161,0.55,NA,0.19,0.774,0,"scenario_3_low_corr_tau_z_x2_same_sign",2,2000,1000,250,10,0.5
"CF-FD",70.9692358172583,0.342,100,0.692,NA,0.204,0.782,6.8,"scenario_3_low_corr_tau_z_x2_same_sign",3,2000,1000,250,10,0.5
"CF-NP",85.6509210888349,0.27,78.9473684210526,0.656,NA,0.204,0.782,0,"scenario_3_low_corr_tau_z_x2_same_sign",3,2000,1000,250,10,0.5
"Debiased",61.79713531422,0.026,7.60233918128656,0.534,NA,0.204,0.782,24.4,"scenario_3_low_corr_tau_z_x2_same_sign",3,2000,1000,250,10,0.5
"BEAT",32.8964154968764,0.00600000000000001,1.75438596491228,0.524,NA,0.204,0.782,0,"scenario_3_low_corr_tau_z_x2_same_sign",3,2000,1000,250,10,0.5
"BTGQ",39.4782356359327,0.0820000000000001,23.9766081871345,0.562,NA,0.204,0.782,0,"scenario_3_low_corr_tau_z_x2_same_sign",3,2000,1000,250,10,0.5
"BTGQ_VALID",36.3528421239194,0.11,32.1637426900585,0.576,NA,0.204,0.782,0,"scenario_3_low_corr_tau_z_x2_same_sign",3,2000,1000,250,10,0.5
"CF-FD",72.7381731995663,0.13,100,0.442,NA,0.48,0.478,18,"scenario_4_low_corr_tau_z_x2_opposite_sign",1,2000,1000,250,10,0.5
